10/11/2021,1:01:08 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (220) The database engine 5.02.3790.1830 started.
10/11/2021,1:01:07 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/11/2021,1:00:51 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/11/2021,1:00:51 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/11/2021,1:00:51 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/11/2021,1:00:51 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/11/2021,1:00:50 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/11/2021,1:00:22 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/7/2021,6:22:54 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/7/2021,5:18:56 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/7/2021,5:18:56 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/7/2021,5:15:13 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (200) The database engine 5.02.3790.1830 started.
10/7/2021,5:14:56 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/7/2021,5:14:56 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/7/2021,5:14:56 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
