MissionName:RY,MissionID:101
MissionName:PATRICIA,MissionID:102
MissionName:LINDA,MissionID:103
MissionName:BARBARA,MissionID:104
MissionName:ELIZABETH,MissionID:105
MissionName:JENNIFER,MissionID:106
MissionName:MARIA,MissionID:107
MissionName:SUSAN,MissionID:108
MissionName:MARGARET,MissionID:109
MissionName:DOROTHY,MissionID:110
MissionName:LISA,MissionID:111
MissionName:NANCY,MissionID:112
MissionName:KAREN,MissionID:113
MissionName:BETTY,MissionID:114
MissionName:HELEN,MissionID:115
MissionName:SANDRA,MissionID:116
MissionName:DONNA,MissionID:117
MissionName:CAROL,MissionID:118
MissionName:RUTH,MissionID:119
MissionName:SHARON,MissionID:120
MissionName:MICHELLE,MissionID:121
MissionName:LAURA,MissionID:122
MissionName:SARAH,MissionID:123
MissionName:KIMBERLY,MissionID:124
MissionName:DEBORAH,MissionID:125
MissionName:JESSICA,MissionID:126
MissionName:SHIRLEY,MissionID:127
MissionName:CYNTHIA,MissionID:128
MissionName:ANGELA,MissionID:129
MissionName:MELISSA,MissionID:130
MissionName:BRENDA,MissionID:131
MissionName:AMY,MissionID:132
MissionName:ANNA,MissionID:133
MissionName:REBECCA,MissionID:134
MissionName:VIRGINIA,MissionID:135
MissionName:KATHLEEN,MissionID:136
MissionName:PAMELA,MissionID:137
MissionName:MARTHA,MissionID:138
MissionName:DEBRA,MissionID:139
MissionName:AMANDA,MissionID:140
MissionName:STEPHANIE,MissionID:141
MissionName:CAROLYN,MissionID:142
MissionName:CHRISTINE,MissionID:143
MissionName:MARIE,MissionID:144
MissionName:JANET,MissionID:145
MissionName:CATHERINE,MissionID:146
MissionName:FRANCES,MissionID:147
MissionName:ANN,MissionID:148
MissionName:JOYCE,MissionID:149
MissionName:DIANE,MissionID:150
MissionName:ALICE,MissionID:151
MissionName:JULIE,MissionID:152
MissionName:HEATHER,MissionID:153
MissionName:TERESA,MissionID:154
MissionName:DORIS,MissionID:155
MissionName:GLORIA,MissionID:156
MissionName:EVELYN,MissionID:157
MissionName:JEAN,MissionID:158
MissionName:CHERYL,MissionID:159
MissionName:MILDRED,MissionID:160
MissionName:KATHERINE,MissionID:161
MissionName:JOAN,MissionID:162
MissionName:ASHLEY,MissionID:163
MissionName:JUDITH,MissionID:164
MissionName:ROSE,MissionID:165
MissionName:JANICE,MissionID:166
MissionName:KELLY,MissionID:167
MissionName:NICOLE,MissionID:168
MissionName:JUDY,MissionID:169
MissionName:CHRISTINA,MissionID:170
MissionName:KATHY,MissionID:171
MissionName:THERESA,MissionID:172
MissionName:BEVERLY,MissionID:173
MissionName:DENISE,MissionID:174
MissionName:TAMMY,MissionID:175
MissionName:IRENE,MissionID:176
MissionName:JANE,MissionID:177
MissionName:LORI,MissionID:178
MissionName:RACHEL,MissionID:179
MissionName:MARILYN,MissionID:180
MissionName:ANDREA,MissionID:181
MissionName:KATHRYN,MissionID:182
MissionName:LOUISE,MissionID:183
MissionName:SARA,MissionID:184
MissionName:ANNE,MissionID:185
MissionName:JACQUELINE,MissionID:186
MissionName:WANDA,MissionID:187
MissionName:BONNIE,MissionID:188
MissionName:JULIA,MissionID:189
MissionName:RUBY,MissionID:190
MissionName:LOIS,MissionID:191
MissionName:TINA,MissionID:192
MissionName:PHYLLIS,MissionID:193
MissionName:NORMA,MissionID:194
MissionName:PAULA,MissionID:195
MissionName:DIANA,MissionID:196
MissionName:ANNIE,MissionID:197
MissionName:LILLIAN,MissionID:198
MissionName:EMILY,MissionID:199
MissionName:ROBIN,MissionID:200
MissionName:PEGGY,MissionID:201
MissionName:CRYSTAL,MissionID:202
MissionName:GLADYS,MissionID:203
MissionName:RITA,MissionID:204
MissionName:DAWN,MissionID:205
MissionName:CONNIE,MissionID:206
MissionName:FLORENCE,MissionID:207
MissionName:TRACY,MissionID:208
MissionName:EDNA,MissionID:209
MissionName:TIFFANY,MissionID:210
MissionName:CARMEN,MissionID:211
MissionName:ROSA,MissionID:212
MissionName:CINDY,MissionID:213
MissionName:GRACE,MissionID:214
MissionName:WENDY,MissionID:215
MissionName:VICTORIA,MissionID:216
MissionName:EDITH,MissionID:217
MissionName:KIM,MissionID:218
MissionName:SHERRY,MissionID:219
MissionName:SYLVIA,MissionID:220
