StarId,StarName
10118,CR    And 
30220,HT    Aps 
30229,IL    Aps 
40409,V0409 Aqr 
50722,V0722 Aql 
50760,V0760 Aql 
51084,V1084 Aql 
51102,V1102 Aql 
51760,V1760 Aql 
60489,V0489 Ara 
60550,V0550 Ara 
60761,V0761 Ara 
60885,V0885 Ara 
60943,V0943 Ara 
80450,V0450 Aur 
80708,V0708 Aur 
90047,WY    Boo 
90439,V0439 Boo 
100013,RU    Cae 
110449,V0449 Cam 
130066,AM    CVn 
130424,V0424 CVn 
181234,V1234 Cas 
181305,V1305 Cas 
190128,DE    Cen 
190279,MQ    Cen 
190457,V0457 Cen 
200276,MN    Cep 
200836,V0836 Cep 
220214,HN    Cha
230155,EL    Cir
260550,V0550 CrA 
312117,V2117 Cyg 
312680,V2680 Cyg 
313142,V3142 Cyg 
340554,V0554 Dra 
390119,CS    Gru 
400865,V0865 Her 
400998,V0998 Her 
401217,V1217 Her 
420015,RW    Hya 
500031,TX    Lup 
501270.7969,V3052 Cyg 
502294.063,T     Pup 
503317.3291,TZ    LMi 
504340.5952,V0481 Oph 
505363.8613,V0835 Ara 
506387.1274,V1628 Cyg 
507410.3935,V2434 Sgr 
508433.6595,V2876 Cyg 
509456.9256,V0545 Pav 
510261,LM    Lyn 
510326,QR    Lyn 
510480.1917,V4514 Sgr 
511503.4578,V0956 Ara 
512526.7239,BP    Pup 
513549.99,V0636 Lac 
514573.2561,V0552 Aql 
515596.5222,V0566 Per 
516619.7882,V0527 Dra 
517643.0543,FO    Aur 
518666.3204,V0764 Cas 
519689.5865,HH    Psc 
520453,V0453 Lyr 
520712.8526,V0655 Pup 
521736.1187,V0426 Gem 
522759.3848,V0389 Her 
523782.6508,V5427 Sgr 
524805.9169,V1907 Cyg 
525829.183,V1092 Cyg 
526852.4491,OT    Lyr 
527875.7152,RX    Cas 
528898.9813,V0766 Aur 
529922.2474,CP    Cas 
530945.5135,V2689 Sgr 
531968.7795,V0598 Ser 
532992.0456,V1393 Oph 
534015.3117,V0386 Gem 
535038.5778,MW    Lyr 
536061.8439,V1296 Oph 
537085.11,V0948 Cyg 
538108.3761,IL    Cam 
539131.6421,LN    Aps 
540154.9082,V0443 Cyg 
541178.1743,V0651 Aur 
542201.4404,V1294 Cen 
543224.7065,V0590 CrA 
544247.9726,MN    Com 
545271.2387,V0848 Ori 
546294.5048,NO    Nor 
547317.7708,V0586 Vul 
548341.0369,V3400 Oph 
549364.303,V0510 Cen 
550056,AB    Mon 
550387.5691,V1193 Aql 
550391,V0391 Mon 
550444,V0444 Mon 
550564,V0564 Mon 
551410.8352,V2324 Ori 
552434.1013,EG    Cen 
553457.3674,MW    Aps 
554480.6334,V0661 Ser 
555503.8995,V0420 Ser 
