timestamp,intersection_id,mode,ring1_phase,ring1_state,ring1_elapsed_ms,ring2_phase,ring2_state,ring2_elapsed_ms,p1,p2,p3,p4,p5,p6,p7,p8,event
2025-08-12T12:00:00Z,17,NORMAL,2,G,0,6,G,0,R,G,R,R,R,G,R,R,
2025-08-12T12:00:01Z,17,NORMAL,2,G,1042,6,G,1042,R,G,R,R,R,G,R,R,
2025-08-12T12:00:02Z,17,NORMAL,2,G,2004,6,G,2004,R,G,R,R,R,G,R,R,
2025-08-12T12:00:03Z,17,NORMAL,2,G,3015,6,G,3015,R,G,R,R,R,G,R,R,
2025-08-12T12:00:04Z,17,NORMAL,2,G,3969,6,G,3969,R,G,R,R,R,G,R,R,
2025-08-12T12:00:05Z,17,NORMAL,2,G,4972,6,G,4972,R,G,R,R,R,G,R,R,
2025-08-12T12:00:06Z,17,NORMAL,2,G,5996,6,G,5996,R,G,R,R,R,G,R,R,
2025-08-12T12:00:07Z,17,NORMAL,2,G,6968,6,G,6968,R,G,R,R,R,G,R,R,
2025-08-12T12:00:08Z,17,NORMAL,2,G,7938,6,G,7938,R,G,R,R,R,G,R,R,
2025-08-12T12:00:09Z,17,NORMAL,2,G,8957,6,G,8957,R,G,R,R,R,G,R,R,
2025-08-12T12:00:10Z,17,NORMAL,2,G,9997,6,G,9997,R,G,R,R,R,G,R,R,
2025-08-12T12:00:11Z,17,NORMAL,2,G,10985,6,G,10985,R,G,R,R,R,G,R,R,
2025-08-12T12:00:12Z,17,NORMAL,2,G,12017,6,G,12017,R,G,R,R,R,G,R,R,
2025-08-12T12:00:13Z,17,NORMAL,2,G,12997,6,G,12997,R,G,R,R,R,G,R,R,
2025-08-12T12:00:14Z,17,NORMAL,2,G,13998,6,G,13998,R,G,R,R,R,G,R,R,
2025-08-12T12:00:15Z,17,NORMAL,2,G,15048,6,G,15048,R,G,R,R,R,G,R,R,
2025-08-12T12:00:16Z,17,NORMAL,2,G,16087,6,G,16087,R,G,R,R,R,G,R,R,
2025-08-12T12:00:17Z,17,NORMAL,2,G,17108,6,G,17108,R,G,R,R,R,G,R,R,
2025-08-12T12:00:18Z,17,NORMAL,2,G,18116,6,G,18116,R,G,R,R,R,G,R,R,
2025-08-12T12:00:19Z,17,NORMAL,2,G,19106,6,G,19106,R,G,R,R,R,G,R,R,
2025-08-12T12:00:20Z,17,NORMAL,2,Y,0,6,Y,0,R,Y,R,R,R,Y,R,R,
2025-08-12T12:00:21Z,17,NORMAL,2,Y,982,6,Y,982,R,Y,R,R,R,Y,R,R,
2025-08-12T12:00:22Z,17,NORMAL,2,Y,1951,6,Y,1951,R,Y,R,R,R,Y,R,R,
2025-08-12T12:00:23Z,17,NORMAL,2,Y,2902,6,Y,2902,R,Y,R,R,R,Y,R,R,
2025-08-12T12:00:24Z,17,NORMAL,2,AR,0,6,AR,0,R,R,R,R,R,R,R,R,
2025-08-12T12:00:25Z,17,NORMAL,4,G,0,8,G,0,R,R,R,G,R,R,R,G,
2025-08-12T12:00:26Z,17,NORMAL,4,G,985,8,G,985,R,R,R,G,R,R,R,G,
2025-08-12T12:00:27Z,17,NORMAL,4,G,2019,8,G,2019,R,R,R,G,R,R,R,G,
2025-08-12T12:00:28Z,17,NORMAL,4,G,2996,8,G,2996,R,R,R,G,R,R,R,G,
2025-08-12T12:00:29Z,17,NORMAL,4,G,3955,8,G,3955,R,R,R,G,R,R,R,G,
2025-08-12T12:00:30Z,17,NORMAL,4,G,5002,8,G,5002,R,R,R,G,R,R,R,G,
2025-08-12T12:00:31Z,17,NORMAL,4,G,5997,8,G,5997,R,R,R,G,R,R,R,G,
2025-08-12T12:00:32Z,17,NORMAL,4,G,6965,8,G,6965,R,R,R,G,R,R,R,G,
2025-08-12T12:00:33Z,17,NORMAL,4,G,7915,8,G,7915,R,R,R,G,R,R,R,G,
2025-08-12T12:00:34Z,17,NORMAL,4,G,8953,8,G,8953,R,R,R,G,R,R,R,G,
2025-08-12T12:00:35Z,17,NORMAL,4,G,9973,8,G,9973,R,R,R,G,R,R,R,G,
2025-08-12T12:00:36Z,17,NORMAL,4,G,11003,8,G,11003,R,R,R,G,R,R,R,G,
2025-08-12T12:00:37Z,17,NORMAL,4,G,12015,8,G,12015,R,R,R,G,R,R,R,G,
2025-08-12T12:00:38Z,17,NORMAL,4,G,13014,8,G,13014,R,R,R,G,R,R,R,G,
2025-08-12T12:00:39Z,17,NORMAL,4,G,13995,8,G,13995,R,R,R,G,R,R,R,G,
2025-08-12T12:00:40Z,17,NORMAL,4,G,15041,8,G,15041,R,R,R,G,R,R,R,G,
2025-08-12T12:00:41Z,17,NORMAL,4,G,16069,8,G,16069,R,R,R,G,R,R,R,G,
2025-08-12T12:00:42Z,17,NORMAL,4,G,17084,8,G,17084,R,R,R,G,R,R,R,G,
2025-08-12T12:00:43Z,17,NORMAL,4,G,18081,8,G,18081,R,R,R,G,R,R,R,G,
2025-08-12T12:00:44Z,17,NORMAL,4,G,19088,8,G,19088,R,R,R,G,R,R,R,G,
2025-08-12T12:00:45Z,17,NORMAL,4,Y,0,8,Y,0,R,R,R,Y,R,R,R,Y,
2025-08-12T12:00:46Z,17,NORMAL,4,Y,976,8,Y,976,R,R,R,Y,R,R,R,Y,
2025-08-12T12:00:47Z,17,NORMAL,4,Y,1934,8,Y,1934,R,R,R,Y,R,R,R,Y,
2025-08-12T12:00:48Z,17,NORMAL,4,Y,2982,8,Y,2982,R,R,R,Y,R,R,R,Y,
